gen_z,normal
ngl this lobby is built different it's giving brb,"honestly this lobby is different, it is displaying be right back"
They were being so bruh about this whole thing.,They were being so expression of disbelief about this whole thing.
When the oh wow so original hits at 3am and you can't sleep istg,When the sarcastically noting something unoriginal feeling hits at three in the morning and you cannot sleep friend
Ngl rn im fully in my ok hun phase,Honestly right now I am fully in my dismissively patronizing phase
Day 47 of my lmao arc and counting,"Day forty-seven of my laughing my ass off, very funny phase and still going"
The cafeteria was clout chaser lately no cap periodt,"The cafeteria served something someone seeking fame or attention today, no exaggeration right now"
Genuinely cannot believe how noob this got very fast,I genuinely cannot believe how quickly this became inexperienced player
He's being so chronically online today it's unreal,He is behaving in an extremely spending too much time online way today
istg nobody: absolutely nobody: me: down bad,"come on now everyone was silent but me, displaying desperate, in a pitiful state"
not to be that person but what a time to be alive and experience ngl,seriously speaking what a remarkable time to be alive experiencing not gonna lie
Bro the dorm wifi is absolutely omg lmao,"The dormitory internet connection is absolutely oh my God, I'm shocked seriously"
That lecture was rip i learned nothing no cap,"That lecture was so that's over, too bad I gained nothing from it without question"
Never seen anything more fire in my entire life,"I have never witnessed anything more excellent, amazing in my entire life"
Smh the situation is very no chill bestie,"I am disappointed, the situation is very unable to relax, intense truly"
he is glazing and simping hard,he is excessively praising and devoted to her
That carry was very caught in 4k i can't even ngl,That assistance was very caught doing something with clear evidence i cannot process it honestly
wait oh how delightfully chronically online congratulations on that,"truly how delightfully spending too much time online of you, congratulations on achieving that"
My gpa after this semester gonna be op fr,My academic performance after this term will be overpowered friend
How do you just wake up and choose smh,"How do you wake up and choose to be shaking my head, disappointing"
He's being so dead week today it's unreal,"He is behaving in an extremely final exam period, very stressful way today"
He is sigma af.,He is extremely independent self-made person.
That respawn spot is understood the assignment honestly,That respawn location is genuinely did exactly what was needed
Omw and already feeling pls,"On my way and already feeling please, also expressing helplessness"
I am feeling really corecore right now.,I am feeling really extremely a deeply emotional internet aesthetic right now.
